,en
JANUARY,January
FEBRUARY,February
MARCH,March
APRIL,April
MAY,May
JUNE,June
JULY,July
AUGUST,August
SEPTEMBER,September
OCTOBER,October
NOVEMBER,November
DECEMBER,December
FIRST_LIGHT,First Light
FROSTPETAL,Frost Petal
SHADOWBLOOM,Shadow Bloom
DUSKBLOSSOM,Dusk Blossom
AWAKENING,Awakening
SECOND_EMBRACE,Second Embrace
EMBER_VEIL,Ember Veil
SOLSRICE,Solstice
DAWN_SEED,Dawn Seed
LAST_EMBRACE,Last Embrace
MOON_VEIL,Moon Veil
SILVER_TIDE,Silver Tide
LAST_PETAL,Last Petal
EQUILIBRIUM,Equilibrium
REBIRTH,Rebirth
NEW_MOON,New Moon
WAXING_MOON,Waxing Moon
FULL_MOON,Full Moon
WANING_MOON,Waning Moon
EPOCH,Epoch
CALAMITY,Calamity
RECEDE,Recede
CONVERGE,Converge
DIVERGENCE,Divergence
BALANCE,Balance
SILENCE,Silence
EMBRACE,Embrace
STORM,Storm
FRACTURE,Fracture
FIRE,Fire
ASH,Ash
CALM,Calm
SURGE,Surge
WHIRL,Whirl
