,en
CONTINUE,Continue
CREATE_CHARACTER,Create Character
OPTIONS,Options
ACTION,Action
SUMMARY,Summary
QUIT,Quit
SIMULATING,"Simulating..."
DAY,day
NAME,Name
GENDER,Gender
RACE,Race
LEVEL,Level
DIET,Diet
VEGAN,Vegan
ABILITIES,Abilities
COMBAT_ABILITIES,Combat Abilities
BACK,Back
RANDOMIZE,Randomize
START,Start
HYBRID,Hybrid race?
GOLD,Gold
STAMINA,Stamina
STAMINA_REGEN,Stamina regeneration
MANA,Mana
MANA_REGEN,Mana regeneration
FOCUS,Focus
STRENGTH,Strength
CONSTITUTION,Constitution
DEXTERITY,Dexterity
INTELLIGENCE,Intelligence
CUNNING,Cunning
WISDOM,Wisdom
ATTACK,Attack
MAGIC,Magic
WILLPOWER,Willpower
ACCURACY,Accuracy
ARMOUR,Armour
EVASION,Evasion
PENETRATION,Penetration
CRITICAL,Critical
SPEED,Speed
LIGHT_WEAPONS,Light Weapons
HEAVY_WEAPONS,Heavy Weapons
DIRTY_FIGHTING,Dirty Fighting
BRAWLING,Brawling
ARCHERY,Archery
GUN_SLINGING,Gun Slinging
TRAPPING,Trapping
SHIELD,Shield
SHIELDS,Shields
ARMOUR,Armour
EVASION,Evasion
ELEMENTAL_MAGIC,Elemental Magic
NATURE_MAGIC,Nature Magic
CELESTIAL_MAGIC,Celestial Magic
SUMMONING,Summoning
NECROMANCY,Necromancy
DEFENSIVE_MAGIC,Defensive Magic
HEALING_ABILITY,Healing
ALCHEMY,Alchemy
WEAPON_SMITHING,Weapon Smithing
ARMOUR_SMITHING,Armour Smithing
WOODWORK,Woodwork
TAYLORING,Tayloring
COOKING,Cooking
ENCHANTING,Enchanting
INFUSE,Infuse
INFUSE_ELEMENTAL,Infuse
INFUSE_NATURE,Infuse
INFUSE_CLERIC,Cleric
FANGS,Fangs
LACERATING_FANGS,Lacerating Fangs
CLAWS,Claws
DRAINING_BITE,Draining Bite
POISONOUS_DAGGER,Poisonous Dagger
TOXIC_BITE,Toxic Bite
WEB,Web
HIGH_TECH_CUTTING,High Tech
HIGH_TECH_IMPACT,High Tech
HIGH_TECH_RANGED,High Tech
FERAL_FIRE_MAGIC,Fire Magic
FERAL_WATER_MAGIC,Water Magic
FERAL_EARTH_MAGIC,Earth Magic
FERAL_WIND_MAGIC,Wind Magic
FERAL_ICE_MAGIC,Ice Magic
FERAL_LIGHTNING_MAGIC,Lightning Magic
FERAL_LIGHT_MAGIC,Light Magic
FERAL_DARKNESS_MAGIC,Darkness Magic
FERAL_POISON_MAGIC,Poison Magic
FERAL_ACID_MAGIC,Acid Magic
FERAL_IMPACT_FIRE_MAGIC,Fire Magic
FERAL_IMPACT_WATER_MAGIC,Water Magic
